,Book-Author,Description
227,Mark Twain,"Samuel Langhorne Clemens, best known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer. He was praised as the ""greatest humorist the United States has produced"", and William Faulkner called him ""the father of American literature"". His novels include The Adventures of Tom Sawyer (1876) and its sequel, Adventures of Huckleberry Finn (1884), the latter of which has often been called the ""Great American Novel"". Twain also wrote A Connecticut Yankee in King Arthur's Court (1889) and Pudd'nhead Wilson (1894), and co-wrote The Gilded Age: A Tale of Today (1873) with Charles Dudley Warner."
228,Viola Spolin,"Viola Spolin was an American theatre academic, educator and acting coach. She is considered an important innovator in 20th century American theater for creating directorial techniques to help actors to be focused in the present moment and to find choices improvisationally, as if in real life. These acting exercises she later called Theater Games and formed the first body of work that enabled other directors and actors to create improvisational theater. Her book Improvisation for the Theater, which published these techniques, includes her philosophy and her teaching and coaching methods, and is considered the ""bible of improvisational theater"". Spolin's contributions were seminal to the improvisational theater movement in the U.S. She is considered to be the mother of Improvisational theater. Her work has influenced American theater, television and film by providing new tools and techniques that are now used by actors, directors and writers."
229,Bohumil Hrabal,"Bohumil Hrabal was a Czech writer, often named among the best Czech writers of the 20th century."
230,Alex LA Guma,
231,Dale Brown,Dale Brown is an American writer and aviator known for aviation techno-thriller novels. At least thirteen of his novels have been New York Times Best Sellers.
235,Karin Kinney,
236,Jean Crawford,
237,Debbi Fields,"Debbi Fields née Debra Jane Sivyer is the founder and spokesperson of Mrs. Fields Bakeries. She has written several cookbooks and makes cookies. A resident of Memphis, Tennessee for over 16 years since she remarried in 1997, she moved to Nashville in 2014. Her late husband, Michael Rose, was the former CEO/Chairman of Holiday Corp. and Harrah's Entertainment, Inc. He died of cancer on April 2, 2017, at the age of 75."
238,Richard Williams,Richard Williams may refer to:
240,Henri Matisse,"Henri Émile Benoît Matisse was a French visual artist, known for both his use of colour and his fluid and original draughtsmanship. He was a draughtsman, printmaker, and sculptor, but is known primarily as a painter.
Matisse is commonly regarded, along with Pablo Picasso, as one of the artists who best helped to define the revolutionary developments in the visual arts throughout the opening decades of the twentieth century, responsible for significant developments in painting and sculpture."
241,William Goldman,"William Goldman was an American novelist, playwright, and screenwriter. He first came to prominence in the 1950s as a novelist before turning to screenwriting. He won Academy Awards for his screenplays Butch Cassidy and the Sundance Kid (1969) and All the President's Men (1976)."
242,Will Durant,"William James Durant was an American historian and philosopher, best known for his 11-volume work, The Story of Civilization, which contains and details the history of Eastern and Western civilizations. It was written in collaboration with his wife, Ariel Durant, and published between 1935 and 1975. He was earlier noted for The Story of Philosophy (1926), described as ""a groundbreaking work that helped to popularize philosophy""."
243,J. R. R. Tolkien,John Ronald Reuel Tolkien was an English writer and philologist. He was the author of the high fantasy works The Hobbit and The Lord of the Rings.
244,Ayn Rand,"Alice O'Connor, better known by her pen name Ayn Rand, was a Russian-born American writer and philosopher. She is known for her fiction and for developing a philosophical system she named Objectivism. Born and educated in Russia, she moved to the United States in 1926. After two early novels that were initially unsuccessful and two Broadway plays, she achieved fame with her 1943 novel, The Fountainhead. In 1957, Rand published her best-selling work, the novel Atlas Shrugged. Afterward, until her death in 1982, she turned to non-fiction to promote her philosophy, publishing her own periodicals and releasing several collections of essays."
245,Herbert Zim,"Herbert Spencer Zim was a naturalist, author, editor and educator best known as the founder (1945) and editor-in-chief of the Golden Guides series of nature books."
246,William S. Justice,
247,Robert W. Ramsey,
248,Gary R. Howard,
249,Henry II Smith,
250,Paul O'Neil,"Paul Joseph O'Neil is an American former professional ice hockey center. He was drafted by the Vancouver Canucks in the fifth round, 67th overall, of the 1973 NHL Amateur Draft. He was also drafted by the Houston Aeros in the fifth round, 61st overall, of the 1973 WHA Amateur Draft. O'Neil played six National Hockey League games in his career and one World Hockey Association game, spending the bulk of his career in the minor leagues. Internationally he played for the United States at the 1973 World Championship Group B."
251,Chadwick Hansen,
252,Gertrude Chandler Warner,"Gertrude Chandler Warner was an American author, mainly of children's stories. She was most famous for writing the original book of The Boxcar Children and for the next eighteen books in the series."
254,Mary Ellen Ellsworth,
255,Diane Blain,
256,Ruth Hooker,
257,Louis Sachar,Louis Sachar is an American young-adult mystery-comedy author. He is best known for the Wayside School series and the novel Holes.
258,Fred Chappell,Fred Davis Chappell is an author and poet. He was an English professor for 40 years (1964–2004) at the University of North Carolina at Greensboro. He was the Poet Laureate of North Carolina from 1997–2002. He attended Duke University.
259,Dan T. Carter,Dan T. Carter is an American historian.
260,Lagerkvi,
261,Langston Hughes,"James Mercer Langston Hughes was an American poet, social activist, novelist, playwright, and columnist from Joplin, Missouri. One of the earliest innovators of the literary art form called jazz poetry, Hughes is best known as a leader of the Harlem Renaissance. He famously wrote about the period that ""the Negro was in vogue"", which was later paraphrased as ""when Harlem was in vogue."""
262,Michael H. Hunt,
263,Trina Paulus,
264,Time Life Ed,
265,Michael R. Gardner,
266,Aubrey  Dillon-Malone,
267,Aubrey Dillon-Malone,
268,Roger  Jahnke,
269,Loretta. Lynn,
270,Ellington Darden,
271,Bill Flanagan,"Bill Flanagan is an American author, television executive and radio host. He was born in Rhode Island and graduated from Brown University in 1977. His books include Written in My Soul (1986), Last of the Moe Haircuts (1986), U2 at the End of the World (1995), and the novels A&R (2000), New Bedlam (2007), Evening's Empire (2010), and Fifty in Reverse (2020)."
272,Ingrid Seward,
273,Don Gold,
274,Vicki  Lansky,"Vicki Lee Lansky was an American author and publisher, best known for her cookbook Feed Me I'm Yours."
275,Ellis Weiner,"Ellis Weiner is an author and humorist who has previously worked as an editor of National Lampoon and a columnist for Spy Magazine. His humor has also appeared in The New Yorker, Paris Review, and The New York Times Magazine."
276,Judy Parkinson,
277,Lyn M. Fraser,
278,Kathleen Fischer,
279,Thelma Hall,
280,Richard Chilson,
281,Lawrence,Lawrence may refer to:
282,Michael Scanlan,"Michael Scanlan may refer to:Michael Scanlan (priest) (1931–2017), Roman Catholic priest
Michael Scanlan (diplomat), American diplomat
Michael Scanlan (poet) (1833–1917), Irish nationalist, editor, poet and writer"
